Tier,"Subnet ",Description,Category,Company,App,Validation from,Native token,Notes
C tier,SN62 : AgenTao,SWE agents,AI Agent,AgenTao,,,,
C tier,SN63 : Alpha Trade Exchange,Cross-subnets liquidity,"DeFi, Infrastructure",Nickel5,,,,
S Tier,"SN64 : Chutes ",General purpose compute,"Compute, Generative AI",Rayon Labs,,Guru (soon Tao.com),,
C tier,SN65 : Tao Private Network (TPN),VPN,Infrastructure,N/A,,,,
C tier,SN66 : FakeNews,Fake news detection,Deepfake detection,N/A,,,,
D tier,SN67 : Unknown,,,,,,,
A Tier,SN68 : Nova,Drug discovery,DeSci,Metanova Labs,,,,
D tier,SN69 : Unknown,,,,,,,
B Tier,SN70 : Vericore,Fact-checking,AI powered tool,dFusion,,Yuma portfolio,,
D tier,SN71 : Unknown,,,,,,,
D tier,SN72 : Unknown,,,,,,,
D tier,SN73 : Deeznuts,,,,,,,
D tier,SN74 : Unknown,,,,,,,
A Tier,SN75 : Hippius,Storage,Storage,Hippius,Yes,,,Endorsed by @mogmachine
B Tier,SN76 : Safescan,Cancer detection,DeSci,Safescan,,,,
D tier,SN77 : Unknown,,,,,,,
D tier,SN78 : Unknown,,,,,,,
D tier,SN79 : Taos,,,,,,,
C tier,SN80: AI Factory,Specialized models,Model development,AI Factory,,,,
B Tier,SN81 : Patrol,Security analysis,"Infrastructure, Security",Tensora,,,,
D tier,SN82 : Unknown,,,,,,,
D tier,SN83 : Unknown,,,,,,,
C tier,SN84 : Document Understanding,Document processing & understanding,AI powered tool,Tatsu,Soon,,https://dexscreener.com/ethereum/0xbaafed32ec23b8e206820181318c0750cd194a5c,
B Tier,SN85 : Vidaio,Video processing,AI powered tool,Vidaio,,,,
D tier,SN86 : Unknown,,,,,,,
C tier,SN87 : CheckerChain,Product review & scoring,"AI powered tool, Predictive systems",CheckerChain,,,,
C tier,SN88 : Staking,Staking strategies,AI powered tool,StakingAlpha,,,,
D tier,SN89 : Unknown,,,,,,,
D tier,SN90 : Unknown,,,,,,,
C tier,SN91 : Tensorprox,"DDOS protection ","Infrastructure, Security",Shugo.io,,,,
D tier,SN92 : Unknown,,,,,,,
C tier,SN93 : Bitcast,Creator Marketing,AI powered tool,Bitcast,,,,
C tier,SN94 : Eastworld,AI agent evaluation & training,AI Agent,Eastworld AI,,,,
D tier,SN95 : Unknown,,,,,,,
